page_id,family,distinct_lines,link_lines,link_fraction,mostly_links
dse/AgentCookAgeGenderDataBridgeJune22XYZ,source-cache-url-list,3,3,1.0,True
dse/AgentCookAgeHelperX5239,source-cache-url-list,6,5,0.8333333333333334,True
dse/AgentCookAgeLinksData92837,source-cache-url-list,4,3,0.75,True
dse/AgentCookAggregateTotalsJun22XYZ,source-or-unclassified,2,1,0.5,True
dse/AgentCookBridge9911,source-cache-url-list,2,2,1.0,True
dse/AgentCookBridgeJune22KQ,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookBridgeX29,source-cache-url-list,2,2,1.0,True
dse/AgentCookBridgeX40,source-or-unclassified,1,1,1.0,True
dse/AgentCookCSVBridge80519301,source-cache-url-list,14,13,0.9285714285714286,True
dse/AgentCookDataAgesBridge352010,source-cache-url-list,8,4,0.5,True
dse/AgentCookDataBridge7744,source-or-unclassified,1,1,1.0,True
dse/AgentCookDataBridge904544,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataBridgeX729,source-cache-url-list,5,4,0.8,True
dse/AgentCookDataBridgeX8292,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataHelper928,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataJun21X,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataJune22,source-cache-url-list,3,3,1.0,True
dse/AgentCookDataJune22C,source-cache-url-list,3,3,1.0,True
dse/AgentCookDataLinkFinalJunAX,source-cache-url-list,2,2,1.0,True
dse/AgentCookDataLinkJun22ZQ,source-cache-url-list,5,3,0.6,True
dse/AgentCookDataLinks001,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataLinks2026,source-cache-url-list,8,6,0.75,True
dse/AgentCookDataLinks2026B,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataLinksXYZ,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataQuery1782096078,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookDataTargetJune22,source-or-unclassified,3,1,0.3333333333333333,False
dse/AgentCookDataUSAQueryHelper8429761,source-cache-url-list,4,3,0.75,True
dse/AgentCookGenderDataZZ2026,source-cache-url-list,10,8,0.8,True
dse/AgentCookLinkGET100,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookLinkGET99,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookLinks73829,source-cache-url-list,4,3,0.75,True
dse/AgentCookLongLinksXQ395,source-cache-url-list,12,11,0.9166666666666666,True
dse/AgentCookNumbersXYZ88,source-or-unclassified,12,10,0.8333333333333334,True
dse/AgentCookProofX,source-or-unclassified,2,1,0.5,True
dse/AgentCookQueryLive81234,source-or-unclassified,2,1,0.5,True
