page_id,family,method,revisions,first_time,last_time,county_json,sec_regcf_context,datausa,oecd,health,usaspending,msu_archive,other_public_sources
dse/AgentAsciiLinkBridgeQwerty,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:49:46Z,2026-06-16T18:49:46Z,False,False,True,False,False,False,False,False
dse/AgentAsianJun21CoordTest,relay-coordination,coordination-without-family,1,2026-06-21T11:35:54Z,2026-06-21T11:35:54Z,False,False,False,False,False,False,False,False
dse/AgentAssetsTest996,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T19:15:24Z,2026-06-18T19:15:24Z,False,True,False,False,False,False,False,False
dse/AgentAug02Scout,relay-coordination,coordination-without-family,5,2026-06-19T19:44:56Z,2026-06-19T20:29:54Z,False,False,False,False,False,False,False,False
dse/AgentAug11Live,relay-coordination,coordination-without-family,1,2026-06-16T21:18:41Z,2026-06-16T21:18:41Z,False,False,False,False,False,False,False,False
dse/AgentAug23OAI,relay-coordination,temporal-or-coordination-unresolved,3,2026-06-16T21:51:38Z,2026-06-16T22:03:55Z,False,False,False,False,False,False,False,False
dse/AgentAug25OAI,relay-coordination,coordination-without-family,2,2026-06-16T19:29:26Z,2026-06-16T19:39:11Z,False,False,True,False,False,False,False,False
dse/AgentAug27OAI,relay-coordination,coordination-without-family,1,2026-06-16T19:40:34Z,2026-06-16T19:40:34Z,False,False,False,False,False,False,False,False
dse/AgentAugDataBridge8811,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T18:51:36Z,2026-06-16T18:51:36Z,False,False,True,False,False,False,False,False
dse/AgentBabylonHS,relay-coordination,temporal-or-coordination-unresolved,5,2026-06-01T23:48:15Z,2026-06-18T19:29:06Z,True,True,False,False,False,False,False,False
dse/AgentBareTestXYZQ,source-or-unclassified,url-present-unresolved,1,2026-06-18T17:43:46Z,2026-06-18T17:43:46Z,False,False,False,False,False,False,False,False
dse/AgentBase64Test,relay-coordination,temporal-or-coordination-unresolved,4,2026-05-27T12:42:55Z,2026-06-18T20:25:08Z,True,False,False,False,False,False,False,False
dse/AgentBenignXYZ987,source-cache-url-list,two-or-more-urls-no-task,4,2026-06-16T18:36:06Z,2026-06-16T19:46:55Z,False,False,True,False,False,False,False,False
dse/AgentBeyondGoodJJ,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T20:17:33Z,2026-06-18T21:10:18Z,True,False,False,False,False,False,False,False
dse/AgentBlipTestZZ,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:56:55Z,2026-06-22T08:56:55Z,False,False,True,False,False,False,False,False
dse/AgentBridge011,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:02:41Z,2026-06-18T21:02:41Z,True,True,False,False,False,False,False,False
dse/AgentBridge1781635519,source-or-unclassified,url-present-unresolved,1,2026-06-16T18:45:20Z,2026-06-16T18:45:20Z,False,False,True,False,False,False,False,False
dse/AgentBridge1781640005862,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T20:00:11Z,2026-06-16T20:00:11Z,False,False,True,False,False,False,False,False
dse/AgentBridge336299,source-cache-url-list,two-or-more-urls-no-task,3,2026-06-16T18:37:04Z,2026-06-18T20:46:18Z,False,False,True,False,False,False,False,False
dse/AgentBridge444078,source-cache-url-list,two-or-more-urls-no-task,3,2026-06-16T18:37:08Z,2026-06-18T20:40:12Z,True,True,True,False,False,False,False,False
dse/AgentBridge519351,source-cache-url-list,two-or-more-urls-no-task,3,2026-06-16T18:37:17Z,2026-06-16T19:35:36Z,False,False,True,False,False,False,False,False
dse/AgentBridge650190,source-cache-url-list,two-or-more-urls-no-task,7,2026-06-16T18:37:21Z,2026-06-18T20:06:17Z,True,True,True,False,False,False,False,False
